year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2008,5,ESP,Spain,ESP.12_1,Galicia,2181.709,135.077,18.464,10.509,6.249,13.069,5.299,7.216,0.753,0.95,3.893
2008,6,ESP,Spain,ESP.12_1,Galicia,28298.516,1465.79,201.488,131.524,70.438,123.442,60.601,68.151,9.255,9.769,56.212
2008,7,ESP,Spain,ESP.12_1,Galicia,8191.284,419.417,62.295,42.343,25.149,35.603,22.423,18.586,3.136,2.707,15.282
2008,8,ESP,Spain,ESP.12_1,Galicia,7259.441,362.325,64.04,46.869,32.719,31.473,30.56,14.094,3.779,2.146,11.36
2008,9,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,10,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,11,ESP,Spain,ESP.12_1,Galicia,2980.719,140.759,25.351,19.223,13.265,11.651,12.45,5.056,1.549,0.808,4.796
2008,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,2,ESP,Spain,ESP.12_1,Galicia,8191.295,411.388,71.844,52.216,36.206,35.817,33.735,16.245,4.193,2.457,12.945
2009,3,ESP,Spain,ESP.12_1,Galicia,79595.95,3793.132,652.099,486.165,324.027,312.467,301.46,142.589,38.468,22.376,134.316
2009,4,ESP,Spain,ESP.12_1,Galicia,8874.347,469.372,84.924,60.686,44.324,43.174,41.51,19.1,4.983,2.807,12.623
2009,5,ESP,Spain,ESP.12_1,Galicia,5220.393,259.539,43.308,31.228,20.7,22.099,19.111,10.445,2.453,1.578,8.803
2009,6,ESP,Spain,ESP.12_1,Galicia,8066.511,419.272,65.178,44.635,28.21,36.492,25.525,18.398,3.403,2.671,14.218
2009,7,ESP,Spain,ESP.12_1,Galicia,11997.017,567.376,86.195,62.348,36.36,44.764,32.796,22.871,4.628,3.527,23.041
2009,8,ESP,Spain,ESP.12_1,Galicia,11025.859,469.808,62.462,47.104,20.909,31.425,17.909,17.947,3.162,2.948,24.537
2009,9,ESP,Spain,ESP.12_1,Galicia,56103.169,2768.772,457.091,329.96,215.689,233.407,198.694,111.29,25.754,16.874,96.341
2009,10,ESP,Spain,ESP.12_1,Galicia,5835.378,228.897,33.231,27.234,13.323,13.85,11.955,7.315,1.92,1.337,12.723
2009,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
