year,month,gid_0,country,gid_1,region,pollutant,closed_shrublands,croplands,forest,grassland,open_shrublands,peatlands,savanna,woody_savanna
2011,2,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.018482111,0.0,0.0,0.0,0.13388261
2011,2,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.34323922,0.0,0.0,0.0,2.4863914
2011,3,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,10.169669,0.40484624,0.0,0.0,1.619385,8.1462963
2011,3,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,231.52226,11.441307,0.0,0.0,45.765228,230.22142
2011,3,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,3394.9386,283.92043,0.0,0.0,1135.6817,5713.0331
2011,3,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.56257744,0.036964221,0.0,0.0,0.14785689,0.74379227
2011,3,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,6.4912784,0.68647843,0.0,0.0,2.7459137,13.813286
2011,4,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.20242312,0.0,0.0,0.20242312,3.5843704
2011,4,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,5.7206535,0.0,0.0,5.7206535,101.29743
2011,4,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,141.96022,0.0,0.0,141.96022,2513.7346
2011,4,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.018482111,0.0,0.0,0.018482111,0.3272686
2011,4,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.34323922,0.0,0.0,0.34323922,6.0778457
2011,5,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,6,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,5.0848346,0.0,0.0,0.0,0.20242312,5.7024074
2011,6,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,115.76113,0.0,0.0,0.0,5.7206535,161.155
2011,6,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,1697.4693,0.0,0.0,0.0,141.96022,3999.1232
2011,6,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.28128872,0.0,0.0,0.0,0.018482111,0.52065459
2011,6,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,3.2456392,0.0,0.0,0.0,0.34323922,9.6693
2011,7,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,25.424173,0.0,0.0,0.0,0.0,2.4438889
2011,7,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,578.80566,0.0,0.0,0.0,0.0,69.066427
2011,7,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,8487.3466,0.0,0.0,0.0,0.0,1713.9099
2011,7,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,1.4064436,0.0,0.0,0.0,0.0,0.22313768
2011,7,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,16.228196,0.0,0.0,0.0,0.0,4.1439857
2011,8,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,5.0848346,2.0242312,0.0,0.0,1.0121156,4.399
2011,8,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,115.76113,57.206535,0.0,0.0,28.603267,124.31957
2011,8,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,1697.4693,1419.6022,0.0,0.0,709.80108,3085.0379
2011,8,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.28128872,0.18482111,0.0,0.0,0.092410553,0.40164782
2011,8,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,3.2456392,3.4323922,0.0,0.0,1.7161961,7.4591743
2011,9,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,1.9126088,15.254504,1.2145387,0.0,0.0,3.6436161,3.2585185
2011,9,ESP,Spain,ESP.12_1,Galicia,co,0.0,65.170373,347.2834,34.323921,0.0,0.0,102.97176,92.088569
2011,9,ESP,Spain,ESP.12_1,Galicia,co2,0.0,1073.186,5092.4079,851.7613,0.0,0.0,2555.2839,2285.2133
2011,9,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.049586153,0.84386617,0.11089266,0.0,0.0,0.33267799,0.29751691
2011,9,ESP,Spain,ESP.12_1,Galicia,nox,0.0,1.770934,9.7369177,2.0594353,0.0,0.0,6.1783059,5.5253143
2011,10,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.31876813,183.05404,31.17316,0.0,88.405024,51.213049,134.08804
2011,10,ESP,Spain,ESP.12_1,Galicia,co,0.0,10.861729,4167.4008,880.98064,0.0,879.80003,1447.3253,3789.4446
2011,10,ESP,Spain,ESP.12_1,Galicia,co2,0.0,178.86434,61108.895,21861.873,0.0,5788.8292,35915.935,94036.526
2011,10,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0082643589,10.126394,2.846245,0.0,0.0,4.675974,12.242821
2011,10,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.29515567,116.84301,52.858839,0.0,0.0,86.839522,227.36668
2011,11,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16292593
2011,11,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6044285
2011,11,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.26066
2011,11,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014875845
2011,11,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27626571
2011,12,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1404815
2011,12,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.230999
2011,12,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.82464
